index,URL,Company,Location,Department,Position Type,Salary,Description,Job Title
0,https://www.seek.com.au/job/71826676?type=promoted&ref=search-standalone,Nexus Support Office,"Toowong, Brisbane QLD",Database Development & Administration (Information & Communication Technology),Contract/Temp,"$120,000 + Super per year","Culture and Benefits:At Nexus, caring for our people, patients and employees is at the centre of everything we do. We value our strong team culture and go to great lengths to foster inclusion and engagement across our group. Flexibility and trust are a given. If you thrive on making a positive impact and leading with purpose, we invite you to do your research and check us out. Strong Reward & Recognition programGreat discounts at a large variety of retailersFocus on health and wellbeing (including Fitness Passport)Commitment to employee development and learningDedicated engagement and communication strategy The Nexus Hospitals story:Nexus Hospitals is a leading Australian private hospital group that operates and develops a growing portfolio of hospitals in key urban and regional markets.  We employ over 1600 talented and passionate people across 28 hospitals, as well as 3 support offices. 11 of our hospitals are the result of a recent acquisition. This is an exciting time of growth and development, making the Nexus Hospitals group one of the largest providers of day and short stay hospitals in Australia. About the Role:Reporting to the Change and Engagement Manager, you will support the HRIS implementation project by ensuring data accuracy and providing support to the Data Lead.Assist in data extraction, transformation, and loading (ETL) processes Perform data analysis and validation to ensure data quality and integrity Develop and maintain dashboards and reports to monitor project progress and performance Support data mapping efforts to align existing data structures with Dayforce requirements Generate insights from data to support project decision making and optimisation  About You:To be successful in this role you will have excellent analytical and problem solving skills with the ability to work autonomously whilst maintaining a ‘one team’ approach. In addition, you will: Proven experience in data analysis, preferably in an HCM or similar project context Proficiency in data analysis tools such as SQL, Excel, and data visualisation tools Knowledge of HCM systems and prior experience with Dayforce is a strong advantage Strong organisational skills and the ability to manage and prioritise multiple tasks Ability to communicate data driven insights effectively to both technical and non technical stakeholders  How to Apply:Simply click APPLY to send in your resume and we’ll be in touch. If you want to stand out amongst a large number of applicants, feel free to include a cover letter outlining why your skill set is most suited to our role. . We are an equal opportunity employer committed to diversity and social inclusion. We welcome applications from all backgrounds.",Data Analyst
1,https://www.seek.com.au/job/71667227?type=promoted&ref=search-standalone,Fleet Safety Services P/L TAS Minecorp Australia,"Acacia Ridge, Brisbane QLD",Business/Systems Analysts (Information & Communication Technology),Full time,,"We are seeking a dedicated and detail-oriented Data Analyst to join our team and help us maintain efficient operations.Who We AreMinecorp Australia is a leading manufacturer of automotive parts & componentry and specialists in fleet modification. As a member of the RMA Group, we pride ourselves on Innovation, Quality & Integrity globally. Our manufacturing capabilities, unrivalled relationships, reach and execution, ensure we are the market leader in our industry.Your RoleThe ideal candidate is a Pronto specialist with extensive experience in managing system parameters and implementing changes to support business. You will own and support delivery of Customisations, Integrations, Advanced Configuration, Maintenance, Report Development, Data Integrity and Data Management Support, User Training and Support, Security and Upgrades and Enhancements. Your role will be an end to end support, from configurations and customisations to assist our business, all the way to developing training documents and collaborating with teams to implement and support our users. The ideal candidate will serve as a bridge between our staff and the Pronto system, ensuring smooth communication and effective problem resolution.Responsibilities Work on-site primarily to provide face-to-face support and build rapport with staff members.Collaborate with key stakeholders to identify opportunities where the Pronto ERP System can better align with the organization's needs.Collaborate with cross-functional teams to gather feedback, identify pain points, and suggest improvements for the ERP implementation.Participate in the ongoing ERP implementation process, including review of current system and implementing upgrades to support automated manufacturing feedback and warehouse management What you’ll needWell-developed understanding of programming principles and experience working with development methodologies, including tool sets within Pronto XI, Cognos and associated Component Library.Knowledge of Pronto Xi Manufacturing or the principles of manufacturing an advantage.Knowledge of Trueforms Neo and Cognos is desirableWhat’s in it For You?Collaborative and supportive teamCareer progression opportunitiesExcellent Staff discount structureFlexible Work ArrangementsA Little More About Us….Minecorp Australia is a member of the RMA Automotive (RMAA) arm of RMA Group and is a major global supplier of expertly modified vehicles, fleet vehicles, accessories, parts, after sales service and training. With over 30 years of experience, we have delivered over 100,000 vehicles to customers globally. Headquartered in Bangkok, Thailand, RMA Group employs over 7,800 people and has an operational presence in 14 countries globally. RMA is the partner of choice for leading automotive, equipment, services and food brands in Southeast Asia and beyond.Applications are only accepted via Seek. If you have any questions, please call Jem on 07 3723 1000. Only successful applicants will be contacted.",Data Analyst
2,https://www.seek.com.au/job/71795985?type=standout&ref=search-standalone,Jumbo Interactive Ltd,Brisbane QLD,Team Leaders (Information & Communication Technology),Full time,,"About UsWe’re an innovative and dynamic technology company that has achieved remarkable growth over the past 25 years, starting from humble beginnings with a single computer to becoming a thriving $1 billion ASX-300 listed business.What sets us apart is our unwavering focus on creating possibilities. We develop cutting-edge solutions empowering our lottery and not-for-profit partners to raise funds for their vital causes. We foster an environment where talented team members can innovate, grow, and have fun. Collaboration and support are at the heart of our work environment, ensuring our team members thrive and enjoy their journey with us.While our roots are in Brisbane, Australia, our reach extends far beyond. We have built an exceptional community of over 300 professionals with a wide range of expertise across Australia, the United Kingdom, and North AmericaAbout The Role:You will spearhead our data initiatives, driving the execution and implementation of cutting-edge data analytics, artificial intelligence, and data science projects.Your role will be instrumental in harnessing innovative data solutions, promoting a data-oriented culture, and guiding the team towards the frontier of data intelligence. Your AI and data science expertise will guide the team in developing advanced models and methods that propel our business strategies and outcomes.In addition to:  Manage and manage the data team, fostering an environment of high performance, innovation, and deep expertise in data analytics, data engineering, data science, and AI. Define and oversee the implementation of data strategies, including the application of AI and data science techniques, to solve complex business problems and create new opportunities. Drive the development and deployment of machine learning models, predictive analytics, and other AI-powered solutions, ensuring they align with organisational goals and deliver value. Collaborate with cross-functional teams to identify opportunities for leveraging company data for AI-based solutions and business insights. Perform ad-hoc deep dive analyses that may impact product development, optimise marketing or drive better decision-making. Manage the data transformation pipeline to create reliable, usable, and accessible datasets for downstream users and tools. Manage the enterprise business intelligence tooling to ensure accurate reporting and promote self-service analytics. Contribute towards data governance and an interface between data creators and data users to ensure a high level of data quality. Establish best AI and data science practices, including methodologies, processes, and standards for data modelling, analysis, and machine learning.  On your first day, we'll expect you to have:  Bachelor’s or Master’s in Data Science, Computer Science, Artificial Intelligence, or a related field. A background working in data science, machine learning, or AI, with 2+ years in a leadership role. Demonstrated experience in developing and deploying machine learning models and advanced analytics in a business environment. Proficiency with Python (Sklearn, TensorFlow, PyTorch), and SQL (Snowflake, Postgres) Understanding of ELT and experience in building data transformation pipelines (dbt, Snowflake, Git, CI/CD). Experience with data visualisation and business intelligence platforms, e.g. Looker, Tableau, Hex. Domain knowledge of Product and Marketing disciplines and the applications of data to drive value in these areas. Excellent understanding of AI trends, data science methodologies, and statistical analytical techniques.  Why join the Jumbo team?Find Your Freedom At Jumbo Video - https://bit.ly/3mNpy7CWe pride ourselves on offering a wide variety of benefits to our Jumbonians. In joining our team, you can expect:  A short-term incentive program that rewards your contributions with an annual incentive payment, dependent on company performance, Hybrid working model (3 days in the Brisbane H/O, 2 days WFH), Commitment to Diversity, Equity and Inclusion across the employee career journey, An Employee Assistance Program where you can access counselling and coaching sessions to improve your well-being, Flexible working hours for great work-life balance, (core hours are 10 am-2 pm with flexibility on how you make up the rest each day), Focus on talent management, including career and skills development An onsite chef (Brisbane) who makes a fresh, gourmet lunch every day, straight from our commercial kitchen! For 120 days of any 12 months, work from almost anywhere in the world, Social activities - Lunchtime chess, corporate games, soccer, Friday get-togethers, The Joe Awards, quarterly team days, lunch provided daily, loads of events to celebrate DEI, 14 weeks of paid parental leave, 4 weeks of paid partner leave, Focus on internal promotion, lateral transfers, and secondments, both locally and internationally. (Temporarily or permanently relocate to any office)  Diversity, Equity, Inclusion and Belonging is at the heart of everything we do. All team members have an equal voice and opportunity to thrive.  We foster a safe environment where our unique perspectives are celebrated, valued, and truly included and we can bring our authentic selves to work.    We are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant.",Data Lead
3,https://www.seek.com.au/job/71662757?type=standout&ref=search-standalone,Queensland Country Bank,Brisbane QLD,Other (Science & Technology),Full time,,"Competitive salary package and employee benefits
Make a difference in your Local Community
Ongoing training and professional development 

 
About the Role
The Senior Data Scientist will be the driving force in our transition to a data-centric future. This critical role involves working independently, navigating the complexities of the banking sector, and leading our data science initiatives. This role will be responsible for the end-to-end delivery of machine learning products that will directly contribute to the growth of our revenues and Member base. This role will engage with stakeholders throughout the development process and mentor our emerging data science team.
This is a full-time position based on a 38-hour work week. Based in the Brisbane Administration Office in Brisbane CBD, with flexibility working arrangements available. This role can be based remotely for the right candidate.
 
About You

Post-graduate qualification in Data or Computer Science, Mathematics or other domains requiring advanced quantitative skill set
Experience as a Data Scientist, Senior Data Scientist, Lead Data Scientist or equivalent
Previous experience managing data science workflows through Azure DevOps or Atlassian based products
Previous experience in the use of cloud-based technologies, particularly with Azure Databricks (desirable)
Experience in Finance and Banking (desirable)

 
About Us
Put simply, we are a bank that has a distinct purpose of helping Queenslanders live better lives through better finances.
Queensland Country are now certified as a Great Place to Work and with over 50 years in business, we continue to shape a phenomenal culture through having our values at the core of what we do. You instantly feel the passion, comradery, and optimism from everyone and can see just how much fun we have as we work together to grow a stronger business and deliver for our Members.
 
Our Benefits 

 Work life balance and flexible working options
Birthday Leave
Community Volunteer Leave
Access to an Employee Assistance Program (EAP)
Access to our Wellness Program
Discounts on your Banking and Health Insurance products
Cultural lunches and social clubs
Excellent training and development opportunities

 
 
How to Apply
To apply for this role please follow the links or apply via SEEK or our website.  Applications close Tuesday 19 December 2023. 
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status. If you do have any questions or require other information please contact Alanna Rawlins on 07 4412 3769.
If you are successful for a role with Queensland Country Bank, you will be required to undergo a pre-employment criminal history check and pre-employment credit history check.
 
 
*Queensland Country Bank limited ABN 77 087 651 027 AFSL/Australian Credit Licence 244 533.*",Senior Data Scientist
4,https://www.seek.com.au/job/71836109?type=standard&ref=search-standalone,Humanised Group,Brisbane QLD,Database Development & Administration (Information & Communication Technology),Full time,"$145,000 base","A new role has become available for a mid to senior Engineer within a growing Data team! Come and work for a technology company that values your contribution and creates a positive impact globally.  Rapidly expanding software house with worldwide growth plans Work with various stakeholders to deliver effective data solutions Career progression/development on offer Brisbane based   Your role will involve:  Implementing data pipelines using AWS Databricks Integrating the end-to-end data pipeline  Developing frameworks for data sets  Experience required:  Python and SQL proficiency Azure or AWS cloud Showcase your experience using data modelling techniques Minimum 5 years of experience in a similar role Excellent written and verbal communication skills  What’s in it for you:  Flexible/Hybrid working environment Professional development and collaborative culture This company promotes health and wellbeing   Join a team of people who are working with the end goal of a positive impact  Does this sound like you? Please apply here, or reach out directly: Hannah Watson | Data Analytics & AI | [email protected]",Data Engineer
5,https://www.seek.com.au/job/71900411?type=standout&ref=search-standalone,Centacare,Brisbane QLD,Business/Systems Analysts (Information & Communication Technology),Full time,,"The Organisation:    Centacare, an Agency of the Catholic Archdiocese of Brisbane, is a values-based organisation dedicated to providing services to the entire community, irrespective of religion, circumstance, ethnicity, economic situation, age, gender, or ability. With a workforce of over 3,000 employees and volunteers, Centacare operates in more than 200 locations, supporting tens of thousands of people each year across various Directorates.    The role:    We currently have an exciting career progression opportunity for the role of Data Analyst. This role will be a permanent full time position. The Data Analyst will play a pivotal role supporting Centacare Business Intelligence and Data Analytics program by providing timely and accurate insights for decision-making, ensuring data quality, collaborating with various teams to optimise data usage, and contributing to operational improvements.    Key Duties:     Collaborate with key stakeholders to ensure accurate documentation, planning, and efficient use of data while fostering continuous improvement and compliance with data governance policies. Follow change management processes, including analysis, planning, development, documentation, implementation, testing, and rollback of data-related changes with a focus on risk evaluation. Generate reports to support business goals, maintain data quality, collaborate across teams, analyse performance, communicate findings effectively, follow data governance, and stay updated on industry trends for data analysis and reporting in the aged care and disability sector. Enhance privacy, data protection, workplace gender equity, and anti-discrimination measures to minimize the Archdiocese's exposure to contractual and professional liability.     Skills and Experience:     A minimum of 3 years previous experience in data analysis or a related role within the Not For Profit space, preferably in a complex program/project or enterprise environment. Strong data analysis skills, with experience in using data analytics tools and techniques (with certification in data analytics and visualisation tools like SQL, Boomi, Power BI desirable) Excellent interpersonal skills, including problem resolution, negotiation, the ability to guide system users and communicate both technical and non-technical information at all levels. Excellent time management skills with the ability to manage activities within established timeframes. Ability to create business process models (people, processes, and technology) Sound decision-making, conflict resolution and problem-solving skills. Ability to obtain and maintain a current blue card, criminal history check, NDIS Worker Screening Clearance (when required) and evidence of rights to work in Australia.     Why Work for us? This is a unique opportunity to work for a values-based organisation and develop your skills at one of the largest employers in Queensland. In addition to a competitive remuneration package including 12% superannuation,6 weeks paid parental leave, 13 weeks Long Service leave plus PBI packaging benefits of up to $18,550, you will be able to be part of an organisation that truly values their employees and providing client centric care to our clients. How to apply If you are passionate about using data to make a difference in the community and meet the qualifications outlined, we invite you to apply for this role. Click APPLY and submit a cover letter that clearly addresses the above-listed skills, experience and essential criteria, as well as a copy of your current résumé. If you would like to know more about this role, please contact [email protected]  Please note shortlisting and interviews will commence as applications are received.   The Archdiocese of Brisbane has standards of conduct for workers to maintain a safe and healthy environment for children. Our commitment to these standards requires that we conduct working with children checks and background referencing for all persons who will engage in direct and regular involvement with children and young people (0 - 18 years) and/or vulnerable adults. The organisation is fully committed to child safety and has a zero tolerance to abuse of children or vulnerable adults.",Data Analyst
6,https://www.seek.com.au/job/71924011?type=standout&ref=search-standalone,Department of Health - Queensland,"Bowen Hills, Brisbane QLD",Analysis & Reporting (Banking & Financial Services)Government - State (Government & Defence),Full time,,"About the Procurement & Supply Chain Optimisation Portfolio:
The Procurement & Supply Chain Optimisation (P&SCO) Portfolio builds on the foundational work undertaken in response to the COVID-19 pandemic to drive operational enhancements and realise further Queensland Health system-wide benefits. The P&SCO Portfolio is a time-limited, temporary work program, currently consisting of three program workstreams, designed to improve procurement and supply chain operations across Queensland Health. 
What we are looking for: 

Relevant experience in using contemporary analytical and data visualisation tools and practices (e.g., Celonis, PowerBI and Python), and enterprise resources planning tools such as SAP S/4HANA.
Demonstrated experience in strategic-level analysis and the visualisation of health service-related data sets and metrics in a complex service delivery organisation.
Demonstrated experience in leading a data management and/or business intelligence team in the design and implementation of business intelligence solutions in a complex service delivery organisation.
High-level facilitation and engagement skills, with a proven ability to influence change and develop effective working and strategic relationships with a wide variety of internal and external stakeholders.",Data and Analytics Lead
7,https://www.seek.com.au/job/71900279?type=standout&ref=search-standalone,Department of Health - Queensland,Brisbane QLD,Business/Systems Analysts (Information & Communication Technology)Government - State (Government & Defence),Full time,,"The role  This role will lead critical Human Resource analytic capabilities ensuring the organisation has access to integrated and robust data-driven insights to inform effective predictive and prescriptive decision-making. You will achieve this through: •    Effective data analysis and data translation skills to communicate insights, risk, and opportunities linked to strategic workforce questions.•    Developing analytic models, algorithms and analysis to uncover workforce drivers impacting the execution of the business strategy. •    Engaging with non-technical and technical stakeholders to project manage data analytics activities. •    Developing and testing hypotheses, exploring data using models and analytics sandboxes from complex and disparate information systems.•    Translating the results of analysis through insightful presentations and reports. •    linking data outputs to dashboards and decision-making tools•    Researching, identifying and analysing emerging issues and trends that impact workforce performance. •    Anticipating the organisational implications of algorithms and machine learning models regarding ethics, bias, privacy, and data protection
The successful personYou will have: •    High level written and verbal skills to professionally communicate technical insight to non-technical audiences. •    Highly developed technical computer skills including demonstrated experience in utilising business intelligence tools, relational databases and Microsoft Office applications in the extraction, transformation and connecting datasets.•    Experience using advanced analytic techniques for structured and unstructured data including data mining, machine learning, forecasting, visualisation, text mining, sentiment analysis, classification and cluster analysis using Python (preferred) or R. •    Ability to integrate machine learning outputs into broader dashboards preferably in PowerBI in an enterprise environment.•    Demonstrated engagement skills to develop effective working and strategic relationships with a wide variety stakeholder in an overall environment of ambiguity, change and evolution.•    Generalist human resource experience would be advantageous.
About usThe Department of Health is responsible for the overall management of the public health system in Queensland.  We are an organisation that strongly believes in the need to work with people who value the goals of our organisation and who will thrive in our workplace.  Working at the Department of Health is about making a difference.
The Corporate Services Division enables corporate services necessary for Queensland Health to function effectively and deliver essential health services. The Division is responsible for major corporate functions including financial, legal and human resources services and overseeing key governance functions such as risk, audit and privacy. The Division is committed to being ‘partners in health service efficiency and quality'. Our aim is to provide multi-dimensional successful partnerships that foster linkages to strengthen relationships in the delivery of our services.
Benefits •    A fast-paced, challenging and supportive environment •    Competitive salary + generous superannuation and leave loading.•    Flexible working arrangements•    Diverse work culture•    Career training and development
To apply for this exciting opportunity, please submit your resume and a cover letter (maximum 2 pages) outlining your skills and experience relevant for this role.",Principal HR Data Analyst
8,https://www.seek.com.au/job/71795754?type=standout&ref=search-standalone,Australian Retirement Trust,Brisbane QLD,Engineering - Software (Information & Communication Technology),Full time,Great salary plus 14% super and 12% bonus,"Are you a budding Data Engineer enthusiastic about data management and visualisation? Do you have experience designing practical data solutions? If you enjoy thriving in a cooperative and dynamic work environment, have a keen eye for detail like tackling intricate projects independently - we'd love to have you on our team!Why join us?State of the art offices with offerings like end of trip facilities, yoga and multi faith room, barista coffee, indoor gardens, and a multitude of spaces to encourage a collaborative culture, our workspaces are something we are extremely proud of.A mature outlook on flexible work arrangements which allows you to truly balance work and life. A #hybrid work from home approach is embedded in our ways of working.We have excellent career progression and development opportunities; we are committed to continuous improvement and have exciting plans for our future.We have an incredible company culture where wellbeing of our employees is at the forefront of everything we do.About the roleWe are embarking on a journey to build a world class investment technology eco-system that will enable the development of sophisticated investment models and quantitative solutions. Data engineering will be at the heart of this initiative, and this is an opportunity to be a foundational member and develop a career in both data and investing.As a Data Engineer, you will work closely with data stewards, custodians, and various stakeholders to craft data solutions that support a scalable, relatable, available, and manageable technology environment. You will possess the skills to analyse, refine, design, and build solutions enabling rapid and insightful investment decision making.Key accountabilities will include: Development and migration of data pipelines, including data warehousing and integration, in Microsoft Azure.Creation of data sets ready for visualisation and reporting.Development of reporting solutions in visualisation technologies including PowerBI and Spotfire.Maintenance and application of up-to-date specialist knowledge of data concepts, data modelling techniques, and design principles.Provision of input into internal Data and Technology Standards, Procedures, and Frameworks.Application of Data Office management processes, including classification, security, retrieval, and retention processes.Identification, assessment, and escalation of risks according to the internal Risk Management framework.This role is available as a permanent opportunity.About youYou're a budding Data Engineer with a solid foundation in managing and visualising data. You have some experience in creating data solutions and enjoy working cooperatively in fast-paced settings. Your analytical skills, attention to detail, and ability to work independently on intricate projects will make you an excellent fit for our team.Whilst building data pipelines is the focus of the role, there are many complementary skills that will be invaluable in this role.  Candidates with a passion for data and a strong background in fields such as Mathematics, Physics, Economics or Investment Management will be highly regarded. This is an excellent opportunity to further develop a career in quantitative development, systematic investing or investment management.About usAs one of Australia’s largest superannuation funds, we proudly take care of over $260 billion in retirement savings. Our teams are as diverse and unique as the members we strive to inspire and empower. Our inclusive culture means you will be valued and heard in a respectful workplace, where you can be your authentic self every day. When you work for Australian Retirement Trust, every day is an opportunity to be a force for good in the lives of more than 2.3 million members.How to applyIf you're ready to take on this exciting challenge and contribute to our dynamic investment technology environment, we invite you to apply! Applications close Sunday, 10 December 2023.We are a Circle Back Initiative Employer – we commit to respond to every applicant.",Data Engineer - Investment Resilience & Planning
9,https://www.seek.com.au/job/71843786?type=standout&ref=search-standalone,Wesley Mission Queensland,"Chermside, Brisbane QLD",Business/Systems Analysts (Information & Communication Technology),Contract/Temp,,"Everyone has a story. And here at Wesley Mission Queensland, we feel privileged to stand alongside the families, children, couples and seniors that we support each year. We’re an innovative and responsive not-for-profit community service provider, helping people across Queensland build stronger and more inclusive communities since 1907.
About the role:

Implementing the most critical data and analytics projects for WMQ's strategic plan.
Building, implementing, managing and optimizing analytics products through Power BI.
Integrating analytics with WMQ’s business processes.
Translating data and analytics on behalf of the business unit(s) and delivering value to the organisation.
Working closely and collaboratively with IT and the wider business.
Evangelizing effective data management practices and promoting better understanding of data and analytics.
Partnering with key business stakeholders, IT experts and subject-matter experts to plan and deliver optimal analytics.

About you:

A bachelor's or master's degree in computer science, statistics, applied mathematics, data management, information systems, information science or a related quantitative field [or equivalent work experience] is required.
Combination of IT skills, data visualisation skills, analytics skills and domain knowledge, data modelling and mining skills.
Strong experience working with popular data discovery, analytics and BI software tools like [Tableau, Qlik, PowerBI and others] for semantic-layer-based data discovery.
Strong ability to design, build and manage reports, dashboards and associated visualisations leveraging off the data discovery tool datasets.
Strong experience with popular database programming languages including SQL for relational databases.
Basic experience in working with and optimizing existing ETL processes and data integration and data preparation flows and helping to move them in production
Excellent written and verbal communication skills.

Why WMQ?
Wesley Mission We value diversity, strive for inclusion, and come together to walk alongside those in need to provide hope and compassion. We are committed to working collaboratively to help you grow, support your wellbeing, and enable you to be your true self each day aligned to our mission and values. Along the journey, we will encourage you to find your story. 
We offer our team members:

Support from our Employee Wellbeing Program – we are recognised as an Advanced Mental Health First Aid Skilled Workplace!
Access to salary packaging benefits that enable you to increase your take-home pay
Discounted allied health services such as nutrition, physiotherapy, occupational therapy, and remedial massage
Access to discounts on private health insurance, gym memberships and travel

WMQ's vision for reconciliation is for all people to stand unified in an equal and inclusive future. We commit to enhancing opportunities for Aboriginal & Torres Strait Islander People and celebrating diversity. As part of our commitment to Reconciliation we encourage applications from Aboriginal and Torres Strait Islander Peoples. 
 Please note: You will be asked for evidence of your COVID-19 vaccination status as part of your application process as required by Legislation, Health Directives and WMQ Policy.",Data and Insights Analyst
