Job Title,URL
Data Analyst,/job/71826676?type=promoted&ref=search-standalone
Data Analyst,/job/71667227?type=promoted&ref=search-standalone
Data Lead,/job/71795985?type=standout&ref=search-standalone
Senior Data Scientist,/job/71662757?type=standout&ref=search-standalone
Data Engineer,/job/71836109?type=standard&ref=search-standalone
Data Analyst,/job/71900411?type=standout&ref=search-standalone
Data and Analytics Lead,/job/71924011?type=standout&ref=search-standalone
Principal HR Data Analyst,/job/71900279?type=standout&ref=search-standalone
Data Engineer - Investment Resilience & Planning,/job/71795754?type=standout&ref=search-standalone
Data and Insights Analyst,/job/71843786?type=standout&ref=search-standalone
Analytics and Decision Solutions Regional Lead,/job/71793871?type=standout&ref=search-standalone
Data Engineer,/job/71852106?type=standout&ref=search-standalone
Safety Data & Insights Lead,/job/71751080?type=standout&ref=search-standalone
Entry Data Analyst - Principal Analyst ( Multiple positions) APS4/APS5/APS6/EL1,/job/71703403?type=standout&ref=search-standalone
Manager - Data and Analytics,/job/71860315?type=standout&ref=search-standalone
Data & Business Insights Coordinator / Anaylst,/job/71850741?type=standout&ref=search-standalone
Machine Learning Engineer,/job/71723437?type=standout&ref=search-standalone
Data Analyst,/job/71720249?type=standout&ref=search-standalone
Analytics and Decision Solutions Regional Lead,/job/71748426?type=standout&ref=search-standalone
Data Engineer,/job/71729940?type=standout&ref=search-standalone
Data Engineer,/job/71674876?type=standout&ref=search-standalone
FDM Group - Cloud & Data Engineering Graduate Program,/job/71555288?type=standout&ref=search-standalone
Data Analyst,/job/71667227?type=promoted&ref=search-standalone
Teacher Aide - Mathematics/Science,/job/71902198?type=promoted&ref=search-standalone
Data Technology Champion,/job/71817929?type=standard&ref=search-standalone
Data Engineer,/job/71856513?type=standard&ref=search-standalone
Manager Data Analytics & Reporting,/job/71846564?type=standout&ref=search-standalone
Statistician (Health Data),/job/71589317?type=standout&ref=search-standalone
Senior Data Engineer - 3 month contract initially,/job/71905401?type=standard&ref=search-standalone
Performance Solutions Manager - Data and Systems,/job/71703824?type=standout&ref=search-standalone
Data Analyst,/job/71826676?type=standout&ref=search-standalone
Senior Data Modeller,/job/71690054?type=standout&ref=search-standalone
Graduate SQL Consultant,/job/71816136?type=standard&ref=search-standalone
Principal Analyst,/job/71749384?type=standout&ref=search-standalone
Senior Data Analyst,/job/71824401?type=standout&ref=search-standalone
Senior Data Engineer,/job/71803670?type=standout&ref=search-standalone
Senior Data Engineer - DATABRICKS,/job/71827060?type=standout&ref=search-standalone
Data Analyst,/job/71632587?type=standard&ref=search-standalone
Analyst or Senior Analyst - Data Engineering,/job/71431110?type=standout&ref=search-standalone
Business Intelligence and Analytics Officer,/job/71856708?type=standout&ref=search-standalone
Software Consultant (Data Analytics),/job/71251866?type=standout&ref=search-standalone
Data Analyst – Mid or Senior Level,/job/71809991?type=standout&ref=search-standalone
Analytics Developer,/job/71492371?type=standout&ref=search-standalone
Senior Analyst,/job/71672698?type=standout&ref=search-standalone
Physics and Science Teacher,/job/71802861?type=promoted&ref=search-standalone
Accounts Assistant,/job/71831272?type=promoted&ref=search-standalone
Workforce Analytics Specialist,/job/71670372?type=standout&ref=search-standalone
Senior Consultant – Data Analysis – Management Consulting,/job/71569631?type=standout&ref=search-standalone
Research Data Officer,/job/71563567?type=standout&ref=search-standalone
Data & Integration Manager,/job/71599891?type=standout&ref=search-standalone
Workforce Data Analyst,/job/71875028?type=standout&ref=search-standalone
Principal Consultant,/job/71331226?type=standout&ref=search-standalone
Senior Databricks Engineer,/job/71816449?type=standout&ref=search-standalone
Senior Data Modeller - Data Vault/Kimball,/job/71423519?type=standard&ref=search-standalone
Insurance Insights Analyst,/job/71676292?type=standout&ref=search-standalone
Spatial and Data Analyst,/job/71600123?type=standout&ref=search-standalone
Lecturer/ Senior Lecturer in Information Systems,/job/71634614?type=standout&ref=search-standalone
Data Engineer - IBM MDM,/job/71421421?type=standout&ref=search-standalone
Data Analyst,/job/71334331?type=standard&ref=search-standalone
FaBA Research Fellow - Data Analytics,/job/71641509?type=standout&ref=search-standalone
"Senior Advisor, Workforce Strategy & Data",/job/71701756?type=standout&ref=search-standalone
ICT  - Senior Data Engineer,/job/71558126?type=standout&ref=search-standalone
Senior Data Engineer,/job/71540981?type=standard&ref=search-standalone
Data and Reporting Officer (Full-time 12-month contract),/job/71702331?type=standout&ref=search-standalone
"ASD4, 5 & 6 - SIGINT Analysts",/job/71724661?type=standout&ref=search-standalone
CSIRO Postdoctoral Fellowship in Mosquito Population Modelling,/job/71905319?type=standout&ref=search-standalone
Science + English & Humanities Teacher,/job/71656247?type=promoted&ref=search-standalone
Animal Technician - Toxicology,/job/71585003?type=promoted&ref=search-standalone
Senior Data Engineer,/job/71538199?type=standout&ref=search-standalone
Data Visualiser - ASAP Start,/job/71294839?type=standard&ref=search-standalone
